dataset,iteration,polarization,edge from,edge to
PagerankAndCommonNeighbors,,,,
Karate,1,0.044024055403380634,34,3
Karate,2,0.04400434624567112,34,2
Karate,3,0.04395501954506297,34,4
Karate,4,0.04383259762998802,34,8
Karate,5,0.04382717456748604,34,1
Karate,6,0.04334324242386996,34,13
Karate,7,0.04285402882413154,34,18
Karate,8,0.04235932284413815,34,22
Karate,9,0.04091543840294993,34,12
Karate,10,0.04067586736985479,34,5
Karate,11,0.04043498157674647,34,11
Karate,12,0.04030319401893709,34,6
Karate,13,0.040171054016804035,34,7
Karate,14,0.03964349966669446,34,17
Karate,15,0.03939661121363942,34,25
Karate,16,0.03914822176969232,34,26
PoliticalBooks,1,0.01280609499490985,12,102
PoliticalBooks,2,0.01276239589246879,12,95
PoliticalBooks,3,0.01275042993806401,12,94
PoliticalBooks,4,0.01273848300515893,12,93
PoliticalBooks,5,0.012694642986533103,12,61
PoliticalBooks,6,0.012668058571522162,12,101
PoliticalBooks,7,0.012665922989579767,12,86
PoliticalBooks,8,0.012621893131549447,12,81
PoliticalBooks,9,0.012604519811605014,12,97
PoliticalBooks,10,0.012587136937870128,12,96
PoliticalBooks,11,0.01258635541795051,12,73
PoliticalBooks,12,0.012583281281085601,12,100
PoliticalBooks,13,0.012556565697738567,12,98
PoliticalBooks,14,0.012555956834337583,12,84
PoliticalBooks,15,0.012538559463007084,12,89
PoliticalBooks,16,0.012537822496114308,12,66
PoliticalBooks,17,0.012511042459178789,12,88
PoliticalBooks,18,0.012507999251818483,12,99
PoliticalBooks,19,0.01249056200330003,12,60
PoliticalBooks,20,0.012473105702196627,12,62
PoliticalBooks,21,0.01244620887850845,12,59
PoliticalBooks,22,0.012401525342644317,12,63
PoliticalBooks,23,0.012400094222186327,12,74
PoliticalBooks,24,0.012373051158991217,12,87
PoliticalBooks,25,0.012364393480453865,12,83
PoliticalBooks,26,0.012363600808763245,12,30
PoliticalBooks,27,0.012354942779633423,12,79
PoliticalBooks,28,0.01234628147378575,12,91
PoliticalBooks,29,0.012319135507470649,12,90
PoliticalBooks,30,0.012318524570185077,12,72
PoliticalBooks,31,0.012273404175567324,12,80
